checkout_date,degree,checkout_count
2019-02-25,doctoral degree,71.0
2019-02-25,master degree,140.0
2019-02-26,doctoral degree,151.0
2019-02-26,bachelor degree,88.0
2019-02-26,master degree,29.0
2019-02-26,Alumni,15.0
2019-02-26,Teacher,236.0
2019-02-27,Alumni,0.0
2019-02-27,Teacher,442.0
2019-02-27,bachelor degree,86.0
2019-02-27,doctoral degree,100.0
2019-02-27,master degree,63.0
2019-02-28,Alumni,15.0
2019-02-28,Teacher,590.0
2019-02-28,bachelor degree,78.0
2019-02-28,doctoral degree,51.0
2019-02-28,master degree,35.0
2019-03-01,doctoral degree,32.0
2019-03-01,bachelor degree,112.0
2019-03-01,master degree,88.0
2019-03-01,Alumni,51.0
2019-03-01,Teacher,198.0
2019-03-02,Alumni,32.0
2019-03-02,Teacher,12.0
2019-03-02,bachelor degree,35.0
2019-03-02,doctoral degree,24.0
2019-03-02,master degree,61.0
2019-03-03,Alumni,17.0
2019-03-03,bachelor degree,26.0
2019-03-03,doctoral degree,2.0
2019-03-03,master degree,102.0
2019-03-04,master degree,87.0
2019-03-04,doctoral degree,34.0
2019-03-04,bachelor degree,54.0
2019-03-04,Alumni,47.0
2019-03-04,Teacher,48.0
2019-03-05,Alumni,0.0
2019-03-05,Teacher,352.0
2019-03-05,bachelor degree,81.0
2019-03-05,doctoral degree,75.0
2019-03-05,master degree,90.0
2019-03-06,Alumni,2.0
2019-03-06,Teacher,305.0
2019-03-06,bachelor degree,94.0
2019-03-06,doctoral degree,35.0
2019-03-06,master degree,72.0
2019-03-07,master degree,22.0
2019-03-07,doctoral degree,136.0
2019-03-07,Alumni,0.0
2019-03-07,Teacher,2177.0
2019-03-07,bachelor degree,74.0
2019-03-08,Alumni,0.0
2019-03-08,Teacher,170.0
2019-03-08,bachelor degree,105.0
2019-03-08,doctoral degree,78.0
2019-03-08,master degree,42.0
2019-03-09,doctoral degree,19.0
2019-03-09,bachelor degree,36.0
2019-03-09,master degree,72.0
2019-03-09,Alumni,12.0
2019-03-09,Teacher,5.0
2019-03-10,Alumni,45.0
2019-03-10,Teacher,0.0
2019-03-10,bachelor degree,28.0
2019-03-10,master degree,41.0
2019-03-11,master degree,94.0
2019-03-11,Alumni,34.0
2019-03-11,Teacher,97.0
2019-03-11,bachelor degree,161.0
2019-03-11,doctoral degree,30.0
2019-03-12,master degree,94.0
2019-03-12,doctoral degree,156.0
2019-03-12,bachelor degree,164.0
2019-03-12,Teacher,335.0
2019-03-12,Alumni,8.0
2019-03-13,Alumni,33.0
2019-03-13,Teacher,275.0
2019-03-13,bachelor degree,94.0
2019-03-13,doctoral degree,120.0
2019-03-13,master degree,45.0
2019-03-14,doctoral degree,105.0
2019-03-14,bachelor degree,160.0
2019-03-14,master degree,14.0
2019-03-14,Alumni,31.0
2019-03-14,Teacher,239.0
2019-03-15,Alumni,1.0
2019-03-15,Teacher,253.0
2019-03-15,bachelor degree,124.0
2019-03-15,doctoral degree,113.0
2019-03-15,master degree,25.0
2019-03-16,Alumni,15.0
2019-03-16,Teacher,17.0
2019-03-16,bachelor degree,42.0
2019-03-16,doctoral degree,86.0
2019-03-16,master degree,12.0
2019-03-17,master degree,6.0
2019-03-17,doctoral degree,23.0
2019-03-17,bachelor degree,48.0
2019-03-17,Alumni,20.0
2019-03-17,Teacher,1.0
2019-03-18,Alumni,16.0
2019-03-18,Teacher,57.0
2019-03-18,bachelor degree,187.0
2019-03-18,doctoral degree,121.0
2019-03-18,master degree,103.0
2019-03-19,doctoral degree,171.0
2019-03-19,bachelor degree,64.0
2019-03-19,master degree,132.0
2019-03-19,Alumni,10.0
2019-03-19,Teacher,582.0
2019-03-20,Alumni,24.0
2019-03-20,Teacher,225.0
2019-03-20,bachelor degree,86.0
2019-03-20,doctoral degree,64.0
2019-03-20,master degree,82.0
2019-03-21,Teacher,40.0
2019-03-21,bachelor degree,85.0
2019-03-21,doctoral degree,62.0
2019-03-21,master degree,71.0
2019-03-22,master degree,130.0
2019-03-22,bachelor degree,61.0
2019-03-22,doctoral degree,42.0
2019-03-22,Alumni,0.0
2019-03-22,Teacher,104.0
2019-03-23,Alumni,46.0
2019-03-23,Teacher,1879.0
2019-03-23,bachelor degree,33.0
2019-03-23,doctoral degree,59.0
2019-03-23,master degree,50.0
2019-03-24,bachelor degree,2.0
2019-03-25,doctoral degree,94.0
2019-03-25,bachelor degree,57.0
2019-03-25,master degree,29.0
2019-03-25,Alumni,104.0
2019-03-25,Teacher,491.0
2019-03-26,Alumni,0.0
2019-03-26,Teacher,483.0
2019-03-26,bachelor degree,81.0
2019-03-26,doctoral degree,74.0
2019-03-26,master degree,28.0
