,Member_type,Duration(day)
564,bachelor degree,3.0
565,bachelor degree,41.0
566,bachelor degree,15.0
567,bachelor degree,14.0
568,bachelor degree,5.0
569,bachelor degree,2.0
570,bachelor degree,29.0
571,bachelor degree,28.0
572,bachelor degree,17.0
573,bachelor degree,14.0
574,bachelor degree,8.0
575,bachelor degree,22.0
576,bachelor degree,4.0
577,bachelor degree,11.0
578,bachelor degree,10.0
579,bachelor degree,24.0
580,bachelor degree,9.0
581,bachelor degree,6.0
582,bachelor degree,2.0
583,bachelor degree,27.0
584,bachelor degree,15.0
585,bachelor degree,152.0
586,bachelor degree,5.0
587,bachelor degree,2.0
588,bachelor degree,6.0
589,bachelor degree,2.0
590,bachelor degree,12.0
591,bachelor degree,20.0
592,bachelor degree,29.0
593,bachelor degree,7.0
594,bachelor degree,13.0
595,bachelor degree,14.0
596,bachelor degree,13.0
597,bachelor degree,2.0
598,bachelor degree,1.0
599,bachelor degree,14.0
600,bachelor degree,24.0
603,bachelor degree,2.0
604,bachelor degree,6.0
605,bachelor degree,54.0
606,bachelor degree,28.0
607,bachelor degree,8.0
608,bachelor degree,5.0
609,bachelor degree,24.0
610,bachelor degree,28.0
611,bachelor degree,7.0
612,bachelor degree,19.0
613,bachelor degree,10.0
614,bachelor degree,7.0
616,bachelor degree,14.0
617,bachelor degree,18.0
618,bachelor degree,7.0
619,bachelor degree,18.0
620,bachelor degree,14.0
621,bachelor degree,11.0
622,bachelor degree,19.0
623,bachelor degree,28.0
624,bachelor degree,14.0
625,bachelor degree,33.0
626,bachelor degree,14.0
627,bachelor degree,2.0
628,bachelor degree,7.0
629,bachelor degree,18.0
630,bachelor degree,9.0
631,bachelor degree,14.0
632,bachelor degree,11.0
633,bachelor degree,14.0
634,bachelor degree,90.0
635,bachelor degree,20.0
636,bachelor degree,20.0
637,bachelor degree,14.0
638,bachelor degree,2.0
641,bachelor degree,14.0
642,bachelor degree,16.0
643,bachelor degree,7.0
644,bachelor degree,24.0
645,bachelor degree,28.0
646,bachelor degree,16.0
647,bachelor degree,112.0
648,bachelor degree,12.0
649,bachelor degree,25.0
650,bachelor degree,10.0
651,bachelor degree,11.0
652,bachelor degree,21.0
653,bachelor degree,26.0
655,bachelor degree,3.0
656,bachelor degree,15.0
657,bachelor degree,9.0
658,bachelor degree,14.0
659,bachelor degree,14.0
660,bachelor degree,17.0
661,bachelor degree,28.0
662,bachelor degree,16.0
663,bachelor degree,18.0
664,bachelor degree,14.0
665,bachelor degree,2.0
666,bachelor degree,13.0
667,bachelor degree,14.0
668,bachelor degree,4.0
669,bachelor degree,10.0
670,bachelor degree,14.0
671,bachelor degree,13.0
672,bachelor degree,20.0
673,bachelor degree,19.0
674,bachelor degree,9.0
675,bachelor degree,9.0
676,bachelor degree,28.0
677,bachelor degree,5.0
678,bachelor degree,9.0
679,bachelor degree,9.0
680,bachelor degree,14.0
681,bachelor degree,13.0
683,bachelor degree,7.0
684,bachelor degree,18.0
685,bachelor degree,16.0
686,bachelor degree,9.0
687,bachelor degree,10.0
688,bachelor degree,7.0
689,bachelor degree,102.0
690,bachelor degree,5.0
691,bachelor degree,2.0
692,bachelor degree,3.0
693,bachelor degree,15.0
694,bachelor degree,16.0
695,bachelor degree,14.0
696,bachelor degree,25.0
697,bachelor degree,26.0
698,bachelor degree,18.0
699,bachelor degree,146.0
700,bachelor degree,32.0
701,bachelor degree,12.0
702,bachelor degree,14.0
703,bachelor degree,14.0
704,bachelor degree,28.0
705,bachelor degree,14.0
706,bachelor degree,2.0
707,bachelor degree,15.0
708,bachelor degree,8.0
711,bachelor degree,15.0
712,bachelor degree,3.0
713,bachelor degree,12.0
714,bachelor degree,6.0
716,bachelor degree,18.0
717,bachelor degree,6.0
718,bachelor degree,14.0
719,bachelor degree,14.0
720,bachelor degree,14.0
721,bachelor degree,7.0
722,bachelor degree,7.0
723,bachelor degree,16.0
725,bachelor degree,6.0
726,bachelor degree,12.0
727,bachelor degree,28.0
728,bachelor degree,19.0
729,bachelor degree,20.0
730,bachelor degree,25.0
731,bachelor degree,26.0
732,bachelor degree,8.0
733,bachelor degree,16.0
